DVD,HHS,total,totalA,totalB
201131,6,174,0,0
201131,7,136,0,0
201131,8,171,0,0
201131,9,124,0,0
201131,10,70,0,0
201132,1,1,0,0
201132,2,133,0,1
201132,3,173,0,0
201132,4,161,4,1
201132,5,150,0,0
201132,6,241,3,0
201132,7,137,0,0
201132,8,165,0,0
201132,9,95,0,0
201132,10,71,0,0
201133,1,7,0,0
201133,2,63,0,0
201133,3,176,0,0
201133,4,198,3,1
201133,5,185,0,0
201133,6,234,1,0
201133,7,137,0,0
201133,8,178,0,0
201133,9,121,0,0
201133,10,76,0,0
201134,1,1,0,0
201134,2,133,0,0
201134,3,183,0,0
201134,4,260,4,2
201134,5,146,0,1
201134,6,212,0,0
201134,7,164,0,0
201134,8,206,1,0
201134,9,113,0,0
201134,10,96,0,0
201135,1,0,0,0
201135,2,127,0,0
201135,3,187,0,0
201135,4,301,8,1
201135,5,180,0,0
201135,6,296,1,0
201135,7,196,0,0
201135,8,235,0,0
201135,9,128,0,0
201135,10,107,0,0
201136,1,2,0,0
201136,2,61,0,0
201136,3,242,0,0
201136,4,371,7,0
201136,5,130,0,0
201136,6,381,0,0
201136,7,163,0,0
201136,8,241,0,0
201136,9,129,0,0
201136,10,94,0,0
201137,1,3,0,0
201137,2,173,0,0
201137,3,246,0,0
201137,4,377,10,2
201137,5,155,0,0
201137,6,403,0,1
201137,7,186,0,0
201137,8,236,0,0
201137,9,143,0,0
201137,10,104,0,0
201138,1,3,0,0
201138,2,183,1,0
201138,3,246,0,0
201138,4,404,5,5
201138,5,269,0,0
201138,6,371,0,0
201138,7,193,0,0
201138,8,301,0,0
201138,9,143,0,0
201138,10,152,0,0
201139,1,8,0,0
201139,2,255,0,0
201139,3,316,0,0
201139,4,450,10,4
201139,5,205,0,0
201139,6,456,0,0
201139,7,199,0,0
201139,8,308,0,0
201139,9,168,0,0
201139,10,134,0,0
201140,1,8,0,0
201140,2,222,0,0
201140,3,359,0,0
201140,4,493,5,5
201140,5,261,0,0
201140,6,399,1,0
201140,7,201,0,0
201140,8,365,2,0
