"RepWeekDate","RepWeekCode","Season","RSVtest","RSVpos","HHS"
"7/4/2015",1526,1516,317,0,2
"7/4/2015",1526,1516,245,0,3
"7/4/2015",1526,1516,566,10,4
"7/4/2015",1526,1516,849,2,5
"7/4/2015",1526,1516,554,8,6
"7/4/2015",1526,1516,101,0,7
"7/4/2015",1526,1516,554,4,8
"7/4/2015",1526,1516,454,4,9
"7/4/2015",1526,1516,309,0,10
"7/11/2015",1527,1516,168,0,1
"7/11/2015",1527,1516,307,1,2
"7/11/2015",1527,1516,246,3,3
"7/11/2015",1527,1516,579,9,4
"7/11/2015",1527,1516,855,5,5
"7/11/2015",1527,1516,559,5,6
"7/11/2015",1527,1516,295,1,7
"7/11/2015",1527,1516,520,2,8
"7/11/2015",1527,1516,491,2,9
"7/11/2015",1527,1516,268,0,10
"7/18/2015",1528,1516,163,2,1
"7/18/2015",1528,1516,306,3,2
"7/18/2015",1528,1516,265,8,3
"7/18/2015",1528,1516,536,7,4
"7/18/2015",1528,1516,627,2,5
"7/18/2015",1528,1516,534,7,6
"7/18/2015",1528,1516,330,0,7
"7/18/2015",1528,1516,537,0,8
"7/18/2015",1528,1516,436,2,9
"7/18/2015",1528,1516,225,0,10
"7/25/2015",1529,1516,158,0,1
"7/25/2015",1529,1516,261,1,2
"7/25/2015",1529,1516,272,0,3
"7/25/2015",1529,1516,542,7,4
"7/25/2015",1529,1516,765,6,5
"7/25/2015",1529,1516,469,2,6
"7/25/2015",1529,1516,315,3,7
"7/25/2015",1529,1516,578,3,8
"7/25/2015",1529,1516,452,2,9
"7/25/2015",1529,1516,247,0,10
"8/1/2015",1530,1516,125,1,1
"8/1/2015",1530,1516,258,5,2
"8/1/2015",1530,1516,243,1,3
"8/1/2015",1530,1516,586,6,4
"8/1/2015",1530,1516,749,3,5
"8/1/2015",1530,1516,527,9,6
"8/1/2015",1530,1516,335,3,7
"8/1/2015",1530,1516,462,4,8
"8/1/2015",1530,1516,457,2,9
"8/1/2015",1530,1516,231,0,10
"8/8/2015",1531,1516,146,2,1
"8/8/2015",1531,1516,259,0,2
"8/8/2015",1531,1516,242,5,3
"8/8/2015",1531,1516,568,3,4
"8/8/2015",1531,1516,760,4,5
"8/8/2015",1531,1516,538,7,6
"8/8/2015",1531,1516,324,0,7
"8/8/2015",1531,1516,490,1,8
"8/8/2015",1531,1516,459,2,9
"8/8/2015",1531,1516,221,0,10
"8/15/2015",1532,1516,110,1,1
"8/15/2015",1532,1516,246,1,2
"8/15/2015",1532,1516,253,2,3
"8/15/2015",1532,1516,617,7,4
"8/15/2015",1532,1516,691,3,5
"8/15/2015",1532,1516,522,9,6
"8/15/2015",1532,1516,343,0,7
"8/15/2015",1532,1516,515,1,8
"8/15/2015",1532,1516,467,4,9
"8/15/2015",1532,1516,215,1,10
"8/22/2015",1533,1516,128,0,1
"8/22/2015",1533,1516,262,2,2
"8/22/2015",1533,1516,331,3,3
"8/22/2015",1533,1516,689,10,4
"8/22/2015",1533,1516,806,4,5
"8/22/2015",1533,1516,541,4,6
"8/22/2015",1533,1516,315,2,7
"8/22/2015",1533,1516,561,0,8
"8/22/2015",1533,1516,431,5,9
"8/22/2015",1533,1516,226,0,10
"8/29/2015",1534,1516,123,1,1
"8/29/2015",1534,1516,298,1,2
"8/29/2015",1534,1516,268,0,3
"8/29/2015",1534,1516,727,8,4
"8/29/2015",1534,1516,787,2,5
"8/29/2015",1534,1516,630,6,6
"8/29/2015",1534,1516,382,1,7
"8/29/2015",1534,1516,501,0,8
"8/29/2015",1534,1516,574,4,9
"8/29/2015",1534,1516,200,1,10
"9/5/2015",1535,1516,147,1,1
"9/5/2015",1535,1516,274,1,2
"9/5/2015",1535,1516,329,2,3
"9/5/2015",1535,1516,713,6,4
"9/5/2015",1535,1516,848,1,5
"9/5/2015",1535,1516,719,7,6
"9/5/2015",1535,1516,435,3,7
"9/5/2015",1535,1516,577,1,8
"9/5/2015",1535,1516,687,2,9
"9/5/2015",1535,1516,219,0,10
"9/12/2015",1536,1516,148,0,1
"9/12/2015",1536,1516,319,1,2
"9/12/2015",1536,1516,287,3,3
"9/12/2015",1536,1516,813,15,4
"9/12/2015",1536,1516,980,1,5
"9/12/2015",1536,1516,768,7,6
"9/12/2015",1536,1516,395,1,7
"9/12/2015",1536,1516,608,2,8
"9/12/2015",1536,1516,956,2,9
"9/12/2015",1536,1516,270,1,10
"9/19/2015",1537,1516,160,1,1
"9/19/2015",1537,1516,337,2,2
"9/19/2015",1537,1516,390,0,3
"9/19/2015",1537,1516,747,11,4
"9/19/2015",1537,1516,1143,1,5
"9/19/2015",1537,1516,815,12,6
"9/19/2015",1537,1516,381,2,7
"9/19/2015",1537,1516,669,2,8
"9/19/2015",1537,1516,586,14,9
"9/19/2015",1537,1516,338,0,10
"9/26/2015",1538,1516,179,3,1
"9/26/2015",1538,1516,432,2,2
"9/26/2015",1538,1516,501,1,3
"9/26/2015",1538,1516,767,15,4
"9/26/2015",1538,1516,1178,5,5
"9/26/2015",1538,1516,876,18,6
"9/26/2015",1538,1516,469,2,7
"9/26/2015",1538,1516,567,0,8
"9/26/2015",1538,1516,684,21,9
"9/26/2015",1538,1516,319,3,10
"10/3/2015",1539,1516,223,0,1
"10/3/2015",1539,1516,496,1,2
"10/3/2015",1539,1516,607,6,3
"10/3/2015",1539,1516,825,18,4
"10/3/2015",1539,1516,1540,3,5
"10/3/2015",1539,1516,745,18,6
"10/3/2015",1539,1516,459,2,7
"10/3/2015",1539,1516,704,0,8
"10/3/2015",1539,1516,735,20,9
"10/3/2015",1539,1516,369,2,10
"10/10/2015",1540,1516,322,0,1
"10/10/2015",1540,1516,708,3,2
"10/10/2015",1540,1516,589,3,3
"10/10/2015",1540,1516,909,28,4
"10/10/2015",1540,1516,1818,15,5
"10/10/2015",1540,1516,1015,20,6
"10/10/2015",1540,1516,486,2,7
"10/10/2015",1540,1516,730,1,8
"10/10/2015",1540,1516,1240,15,9
"10/10/2015",1540,1516,436,2,10
"10/17/2015",1541,1516,294,2,1
"10/17/2015",1541,1516,745,4,2
"10/17/2015",1541,1516,730,6,3
"10/17/2015",1541,1516,985,38,4
"10/17/2015",1541,1516,2093,33,5
"10/17/2015",1541,1516,1129,34,6
"10/17/2015",1541,1516,547,2,7
"10/17/2015",1541,1516,707,3,8
"10/17/2015",1541,1516,1204,10,9
"10/17/2015",1541,1516,382,7,10
"10/24/2015",1542,1516,281,0,1
"10/24/2015",1542,1516,817,8,2
"10/24/2015",1542,1516,748,1,3
"10/24/2015",1542,1516,995,64,4
"10/24/2015",1542,1516,2227,34,5
"10/24/2015",1542,1516,1191,36,6
"10/24/2015",1542,1516,568,4,7
"10/24/2015",1542,1516,755,7,8
"10/24/2015",1542,1516,1172,15,9
"10/24/2015",1542,1516,408,2,10
"10/31/2015",1543,1516,291,2,1
"10/31/2015",1543,1516,740,9,2
"10/31/2015",1543,1516,712,10,3
"10/31/2015",1543,1516,1002,68,4
"10/31/2015",1543,1516,2355,38,5
"10/31/2015",1543,1516,1116,55,6
"10/31/2015",1543,1516,525,9,7
"10/31/2015",1543,1516,790,3,8
"10/31/2015",1543,1516,1174,14,9
"10/31/2015",1543,1516,472,5,10
"11/7/2015",1544,1516,338,3,1
