HHS	DVD	age	rcu	pi	flu	allcause	pop	AH1P	AH3	B	RSV
1	201114	5	1385	230	7	1917	4153400	9.28203632257996e-05	0.000293931150215032	0.00088400345929333	0.00165924391435757
1	201115	1	3	2	0	17	1673338	0.000117382374230829	0.000332583393654014	0.000168737162956816	0.000943564579928216
1	201115	2	4	0	0	9	4843853	0.000117382374230829	0.000332583393654014	0.000168737162956816	0.000943564579928216
1	201115	3	52	6	0	155	12776109	0.000117382374230829	0.000332583393654014	0.000168737162956816	0.000943564579928216
1	201115	4	189	20	1	362	6184301	0.000117382374230829	0.000332583393654014	0.000168737162956816	0.000943564579928216
1	201115	5	1363	216	2	1890	4156729	0.000117382374230829	0.000332583393654014	0.000168737162956816	0.000943564579928216
1	201116	1	2	1	1	13	1673031	7.99767698243956e-05	0.00018661246292359	0.000639814158595165	0.00166499493086564
1	201116	2	1	0	0	6	4843074	7.99767698243956e-05	0.00018661246292359	0.000639814158595165	0.00166499493086564
1	201116	3	52	6	0	144	12775449	7.99767698243956e-05	0.00018661246292359	0.000639814158595165	0.00166499493086564
1	201116	4	181	22	1	336	6185121	7.99767698243956e-05	0.00018661246292359	0.000639814158595165	0.00166499493086564
1	201116	5	1323	209	1	1884	4160058	7.99767698243956e-05	0.00018661246292359	0.000639814158595165	0.00166499493086564
1	201117	1	2	0	0	18	1672724	0	0.000119064951872523	0.000297662379681307	0.000992207932271024
1	201117	2	2	0	0	7	4842294	0	0.000119064951872523	0.000297662379681307	0.000992207932271024
1	201117	3	53	8	1	159	12774790	0	0.000119064951872523	0.000297662379681307	0.000992207932271024
1	201117	4	180	21	1	324	6185941	0	0.000119064951872523	0.000297662379681307	0.000992207932271024
1	201117	5	1264	185	0	1784	4163387	0	0.000119064951872523	0.000297662379681307	0.000992207932271024
1	201118	1	1	0	0	7	1672417	0	0	5.71191193270329e-05	0.000983718166187789
1	201118	2	1	0	0	5	4841515	0	0	5.71191193270329e-05	0.000983718166187789
1	201118	3	48	4	0	156	12774130	0	0	5.71191193270329e-05	0.000983718166187789
1	201118	4	195	28	1	346	6186762	0	0	5.71191193270329e-05	0.000983718166187789
1	201118	5	1219	157	1	1715	4166716	0	0	5.71191193270329e-05	0.000983718166187789
1	201119	1	6	1	0	25	1672110	0	0	0	0.000226235932436142
1	201119	2	2	2	0	6	4840735	0	0	0	0.000226235932436142
1	201119	3	45	2	0	119	12773471	0	0	0	0.000226235932436142
1	201119	4	178	16	0	322	6187582	0	0	0	0.000226235932436142
1	201119	5	1307	195	0	1795	4170045	0	0	0	0.000226235932436142
1	201120	1	5	2	1	13	1671803	0	0	0	0
