DVD	age	rcu	pi	flu	allcause	pop	AH1P	AH3	B	RSV
201044	2	115	12	0	281	47709687	5.48752645845505e-05	0.000263401270005842	0.000283764621201073	0.000231701287973647
201044	3	161	23	0	417	116849520	5.48752645845505e-05	0.000263401270005842	0.000283764621201073	0.000231701287973647
201044	4	392	29	0	968	53157832	5.48752645845505e-05	0.000263401270005842	0.000283764621201073	0.000231701287973647
201044	5	265	35	1	697	32634721	5.48752645845505e-05	0.000263401270005842	0.000283764621201073	0.000231701287973647
201045	1	216	12	0	533	18893213	5.56290978291849e-05	0.000323660205551621	0.000430086977940735	0.000321976371523864
201045	2	57	2	0	188	47712715	5.56290978291849e-05	0.000323660205551621	0.000430086977940735	0.000321976371523864
201045	3	45	5	0	141	116861315	5.56290978291849e-05	0.000323660205551621	0.000430086977940735	0.000321976371523864
201045	4	206	19	0	499	53162839	5.56290978291849e-05	0.000323660205551621	0.000430086977940735	0.000321976371523864
201045	5	55	5	0	143	32670584	5.56290978291849e-05	0.000323660205551621	0.000430086977940735	0.000321976371523864
201046	1	188	18	0	320	18890338	7.02154315408674e-05	0.0004169041247739	0.000649492741753023	0.000820794823029829
201046	2	387	32	0	598	47715743	7.02154315408674e-05	0.0004169041247739	0.000649492741753023	0.000820794823029829
201046	3	422	28	0	821	116873109	7.02154315408674e-05	0.0004169041247739	0.000649492741753023	0.000820794823029829
201046	4	1094	86	0	1934	53167845	7.02154315408674e-05	0.0004169041247739	0.000649492741753023	0.000820794823029829
201046	5	771	70	1	1406	32706447	7.02154315408674e-05	0.0004169041247739	0.000649492741753023	0.000820794823029829
201047	1	645	63	0	1134	18887462	5.82104234824023e-05	0.000715988208833548	0.000893622889428517	0.00111767994042226
201047	2	210	16	0	391	47718771	5.82104234824023e-05	0.000715988208833548	0.000893622889428517	0.00111767994042226
201047	3	119	11	0	210	116884903	5.82104234824023e-05	0.000715988208833548	0.000893622889428517	0.00111767994042226
201047	4	583	55	1	950	53172852	5.82104234824023e-05	0.000715988208833548	0.000893622889428517	0.00111767994042226
201047	5	151	21	0	287	32742310	5.82104234824023e-05	0.000715988208833548	0.000893622889428517	0.00111767994042226
201048	1	1277	162	0	1794	18884587	0.000118223749620245	0.000507218022564276	0.000625441772184521	0.00106310676096994
201048	2	2335	235	0	2987	47721799	0.000118223749620245	0.000507218022564276	0.000625441772184521	0.00106310676096994
201048	3	2550	264	0	3650	116896697	0.000118223749620245	0.000507218022564276	0.000625441772184521	0.00106310676096994
201048	4	5038	548	1	7240	53177859	0.000118223749620245	0.000507218022564276	0.000625441772184521	0.00106310676096994
201048	5	4389	532	0	6236	32778173	0.000118223749620245	0.000507218022564276	0.000625441772184521	0.00106310676096994
201049	1	2598	272	1	3643	18881711	9.17388148951352e-05	0.000739007119988589	0.000778573484866872	0.00134822320694026
201049	2	1228	141	0	1853	47724827	9.17388148951352e-05	0.000739007119988589	0.000778573484866872	0.00134822320694026
201049	3	723	94	0	1062	116908491	9.17388148951352e-05	0.000739007119988589	0.000778573484866872	0.00134822320694026
201049	4	3163	365	0	4092	53182866	9.17388148951352e-05	0.000739007119988589	0.000778573484866872	0.00134822320694026
201049	5	921	101	0	1304	32814036	9.17388148951352e-05	0.000739007119988589	0.000778573484866872	0.00134822320694026
201050	1	3	0	0	12	18878836	0.000252587454608243	0.00141653775219488	0.0015173865516392	0.00208394415853537
201050	2	3	1	0	32	47727855	0.000252587454608243	0.00141653775219488	0.0015173865516392	0.00208394415853537
201050	3	7	0	0	45	116920285	0.000252587454608243	0.00141653775219488	0.0015173865516392	0.00208394415853537
201050	4	24	0	0	112	53187872	0.000252587454608243	0.00141653775219488	0.0015173865516392	0.00208394415853537
201050	5	15	1	0	99	32849899	0.000252587454608243	0.00141653775219488	0.0015173865516392	0.00208394415853537
201051	1	12	3	1	94	18875960	0.000397072195985644	0.00281519725468473	0.00250526277731709	0.00394317050673376
201051	2	6	0	0	30	47730883	0.000397072195985644	0.00281519725468473	0.00250526277731709	0.00394317050673376
201051	3	4	1	0	18	116932079	0.000397072195985644	0.00281519725468473	0.00250526277731709	0.00394317050673376
201051	4	21	2	0	79	53192879	0.000397072195985644	0.00281519725468473	0.00250526277731709	0.00394317050673376
201051	5	1	0	0	13	32885762	0.000397072195985644	0.00281519725468473	0.00250526277731709	0.00394317050673376
